game_id,hand_id,player,stack,hand_profit,bb_profit,cumulative_profit
GLOBAL,49,GPTBot,3910,910,45.5,7775
GLOBAL,49,GeminiBot,2990,0,0.0,-3370
GLOBAL,49,ClaudeBot,2100,-880,-44.0,-2935
GLOBAL,50,GPTBot,3210,210,10.5,7985
GLOBAL,50,GeminiBot,2990,0,0.0,-3370
GLOBAL,50,ClaudeBot,2800,-180,-9.0,-3115
GLOBAL,51,GPTBot,3400,400,20.0,8385
GLOBAL,51,GeminiBot,2990,0,0.0,-3370
GLOBAL,51,ClaudeBot,2610,-370,-18.5,-3485
GLOBAL,52,GPTBot,3910,910,45.5,9295
GLOBAL,52,GeminiBot,2990,0,0.0,-3370
GLOBAL,52,ClaudeBot,2100,-880,-44.0,-4365
GLOBAL,53,GPTBot,3310,310,15.5,9605
GLOBAL,53,GeminiBot,2990,0,0.0,-3370
GLOBAL,53,ClaudeBot,2700,-280,-14.0,-4645
GLOBAL,54,GPTBot,3220,220,11.0,9825
GLOBAL,54,GeminiBot,2800,-190,-9.5,-3560
GLOBAL,54,ClaudeBot,2980,0,0.0,-4645
GLOBAL,55,GPTBot,1000,-2000,-100.0,7825
GLOBAL,55,GeminiBot,2800,-190,-9.5,-3750
GLOBAL,55,ClaudeBot,5200,2220,111.0,-2425
GLOBAL,56,GPTBot,2940,-60,-3.0,7765
GLOBAL,56,GeminiBot,1500,-1490,-74.5,-5240
GLOBAL,56,ClaudeBot,4560,1580,79.0,-845
GLOBAL,57,GPTBot,3200,200,10.0,7965
GLOBAL,57,GeminiBot,2820,-170,-8.5,-5410
GLOBAL,57,ClaudeBot,2980,0,0.0,-845
GLOBAL,58,GPTBot,2940,-60,-3.0,7905
GLOBAL,58,GeminiBot,0,-2990,-149.5,-8400
GLOBAL,58,ClaudeBot,6060,3080,154.0,2235
GLOBAL,59,GPTBot,3070,70,3.5,7975
GLOBAL,59,GeminiBot,2990,0,0.0,-8400
GLOBAL,59,ClaudeBot,2940,-40,-2.0,2195
GLOBAL,60,GPTBot,3610,610,30.5,8585
GLOBAL,60,GeminiBot,2990,0,0.0,-8400
GLOBAL,60,ClaudeBot,2400,-580,-29.0,1615
GLOBAL,61,GPTBot,3220,220,11.0,8805
GLOBAL,61,GeminiBot,2800,-190,-9.5,-8590
GLOBAL,61,ClaudeBot,2980,0,0.0,1615
GLOBAL,62,GPTBot,3400,400,20.0,9205
GLOBAL,62,GeminiBot,2800,-190,-9.5,-8780
GLOBAL,62,ClaudeBot,2800,-180,-9.0,1435
GLOBAL,63,GPTBot,2940,-60,-3.0,9145
GLOBAL,63,GeminiBot,3080,90,4.5,-8690
GLOBAL,63,ClaudeBot,2980,0,0.0,1435
GLOBAL,64,GPTBot,3300,300,15.0,9445
GLOBAL,64,GeminiBot,2760,-230,-11.5,-8920
GLOBAL,64,ClaudeBot,2940,-40,-2.0,1395
GLOBAL,65,GPTBot,3220,220,11.0,9665
GLOBAL,65,GeminiBot,2800,-190,-9.5,-9110
GLOBAL,65,ClaudeBot,2980,0,0.0,1395
GLOBAL,66,GPTBot,3030,30,1.5,9695
GLOBAL,66,GeminiBot,2990,0,0.0,-9110
GLOBAL,66,ClaudeBot,2980,0,0.0,1395
GLOBAL,67,GPTBot,3220,220,11.0,9915
GLOBAL,67,GeminiBot,2800,-190,-9.5,-9300
GLOBAL,67,ClaudeBot,2980,0,0.0,1395
GLOBAL,68,GPTBot,3220,220,11.0,10135
GLOBAL,68,GeminiBot,2800,-190,-9.5,-9490
GLOBAL,68,ClaudeBot,2980,0,0.0,1395
GLOBAL,69,GPTBot,3920,920,46.0,11055
GLOBAL,69,GeminiBot,2740,-250,-12.5,-9740
GLOBAL,69,ClaudeBot,2340,-640,-32.0,755
GLOBAL,70,GPTBot,3030,30,1.5,11085
GLOBAL,70,GeminiBot,2990,0,0.0,-9740
GLOBAL,70,ClaudeBot,2980,0,0.0,755
GLOBAL,71,GPTBot,2940,-60,-3.0,11025
GLOBAL,71,GeminiBot,1500,-1490,-74.5,-11230
GLOBAL,71,ClaudeBot,4560,1580,79.0,2335
GLOBAL,72,GPTBot,0,-3000,-150.0,8025
GLOBAL,72,GeminiBot,2990,0,0.0,-11230
GLOBAL,72,ClaudeBot,6010,3030,151.5,5365
GLOBAL,73,GPTBot,3030,30,1.5,8055
GLOBAL,73,GeminiBot,2990,0,0.0,-11230
GLOBAL,73,ClaudeBot,2980,0,0.0,5365
GLOBAL,74,GPTBot,3610,610,30.5,8665
GLOBAL,74,GeminiBot,2990,0,0.0,-11230
GLOBAL,74,ClaudeBot,2400,-580,-29.0,4785
GLOBAL,75,GPTBot,3400,400,20.0,9065
GLOBAL,75,GeminiBot,2800,-190,-9.5,-11420
GLOBAL,75,ClaudeBot,2800,-180,-9.0,4605
GLOBAL,76,GPTBot,3220,220,11.0,9285
GLOBAL,76,GeminiBot,2800,-190,-9.5,-11610
GLOBAL,76,ClaudeBot,2980,0,0.0,4605
GLOBAL,77,GPTBot,3190,190,9.5,9475
GLOBAL,77,GeminiBot,2990,0,0.0,-11610
GLOBAL,77,ClaudeBot,2820,-160,-8.0,4445
GLOBAL,78,GPTBot,3480,480,24.0,9955
GLOBAL,78,GeminiBot,2760,-230,-11.5,-11840
GLOBAL,78,ClaudeBot,2760,-220,-11.0,4225
GLOBAL,79,GPTBot,3610,610,30.5,10565
GLOBAL,79,GeminiBot,2990,0,0.0,-11840
GLOBAL,79,ClaudeBot,2400,-580,-29.0,3645
GLOBAL,80,GPTBot,3310,310,15.5,10875
GLOBAL,80,GeminiBot,2990,0,0.0,-11840
GLOBAL,80,ClaudeBot,2700,-280,-14.0,3365
GLOBAL,81,GPTBot,3150,150,7.5,11025
GLOBAL,81,GeminiBot,2990,0,0.0,-11840
GLOBAL,81,ClaudeBot,2860,-120,-6.0,3245
GLOBAL,82,GPTBot,3530,530,26.5,11555
GLOBAL,82,GeminiBot,2990,0,0.0,-11840
GLOBAL,82,ClaudeBot,2480,-500,-25.0,2745
GLOBAL,83,GPTBot,3030,30,1.5,11585
GLOBAL,83,GeminiBot,2990,0,0.0,-11840
GLOBAL,83,ClaudeBot,2980,0,0.0,2745
GLOBAL,84,GPTBot,3030,30,1.5,11615
GLOBAL,84,GeminiBot,2990,0,0.0,-11840
GLOBAL,84,ClaudeBot,2980,0,0.0,2745
GLOBAL,85,GPTBot,3030,30,1.5,11645
GLOBAL,85,GeminiBot,2990,0,0.0,-11840
GLOBAL,85,ClaudeBot,2980,0,0.0,2745
GLOBAL,86,GPTBot,3070,70,3.5,11715
GLOBAL,86,GeminiBot,2990,0,0.0,-11840
GLOBAL,86,ClaudeBot,2940,-40,-2.0,2705
GLOBAL,87,GPTBot,3030,30,1.5,11745
GLOBAL,87,GeminiBot,2990,0,0.0,-11840
GLOBAL,87,ClaudeBot,2980,0,0.0,2705
GLOBAL,88,GPTBot,6010,3010,150.5,14755
GLOBAL,88,GeminiBot,2990,0,0.0,-11840
GLOBAL,88,ClaudeBot,0,-2980,-149.0,-275
GLOBAL,89,GPTBot,3150,150,7.5,14905
GLOBAL,89,GeminiBot,2990,0,0.0,-11840
GLOBAL,89,ClaudeBot,2860,-120,-6.0,-395
GLOBAL,90,GPTBot,3130,130,6.5,15035
GLOBAL,90,GeminiBot,2990,0,0.0,-11840
