hand_id,player,stack,profit
122,ClaudeBot,2530,-470
123,GPTBot,0,-3000
123,GeminiBot,2990,-10
123,ClaudeBot,6010,3010
124,GPTBot,3030,30
124,GeminiBot,2990,-10
124,ClaudeBot,2980,-20
125,GPTBot,3220,220
125,GeminiBot,2800,-200
125,ClaudeBot,2980,-20
126,GPTBot,3220,220
126,GeminiBot,2800,-200
126,ClaudeBot,2980,-20
127,GPTBot,0,-3000
127,GeminiBot,2990,-10
127,ClaudeBot,6010,3010
128,GPTBot,3910,910
128,GeminiBot,2990,-10
128,ClaudeBot,2100,-900
129,GPTBot,3030,30
129,GeminiBot,2990,-10
129,ClaudeBot,2980,-20
130,GPTBot,3030,30
130,GeminiBot,2990,-10
130,ClaudeBot,2980,-20
131,GPTBot,3030,30
131,GeminiBot,2990,-10
131,ClaudeBot,2980,-20
132,GPTBot,3230,230
132,GeminiBot,2990,-10
132,ClaudeBot,2780,-220
133,GPTBot,3210,210
133,GeminiBot,2990,-10
133,ClaudeBot,2800,-200
134,GPTBot,3610,610
134,GeminiBot,2990,-10
134,ClaudeBot,2400,-600
135,GPTBot,3210,210
135,GeminiBot,2990,-10
135,ClaudeBot,2800,-200
136,GPTBot,3270,270
136,GeminiBot,2750,-250
136,ClaudeBot,2980,-20
137,GPTBot,3070,70
137,GeminiBot,2990,-10
137,ClaudeBot,2940,-60
138,GPTBot,2940,-60
138,GeminiBot,1500,-1500
138,ClaudeBot,4560,1560
139,GPTBot,3220,220
139,GeminiBot,2800,-200
139,ClaudeBot,2980,-20
140,GPTBot,3210,210
140,GeminiBot,2990,-10
140,ClaudeBot,2800,-200
141,GPTBot,3170,170
141,GeminiBot,2850,-150
141,ClaudeBot,2980,-20
142,GPTBot,3250,250
142,GeminiBot,2990,-10
142,ClaudeBot,2760,-240
143,GPTBot,3030,30
143,GeminiBot,2990,-10
143,ClaudeBot,2980,-20
144,GPTBot,3170,170
144,GeminiBot,2850,-150
144,ClaudeBot,2980,-20
145,GPTBot,3030,30
145,GeminiBot,2990,-10
145,ClaudeBot,2980,-20
146,GPTBot,3150,150
146,GeminiBot,2990,-10
146,ClaudeBot,2860,-140
147,GPTBot,3220,220
147,GeminiBot,2800,-200
147,ClaudeBot,2980,-20
148,GPTBot,3710,710
148,GeminiBot,2990,-10
148,ClaudeBot,2300,-700
149,GPTBot,3170,170
149,GeminiBot,2990,-10
149,ClaudeBot,2840,-160
150,GPTBot,3610,610
150,GeminiBot,2990,-10
150,ClaudeBot,2400,-600
151,GPTBot,3220,220
151,GeminiBot,2800,-200
151,ClaudeBot,2980,-20
152,GPTBot,2940,-60
152,GeminiBot,3660,660
152,ClaudeBot,2400,-600
153,GPTBot,3150,150
153,GeminiBot,2990,-10
153,ClaudeBot,2860,-140
154,GPTBot,3910,910
154,GeminiBot,2990,-10
154,ClaudeBot,2100,-900
155,GPTBot,3070,70
155,GeminiBot,2990,-10
155,ClaudeBot,2940,-60
156,GPTBot,3170,170
156,GeminiBot,2850,-150
156,ClaudeBot,2980,-20
157,GPTBot,3400,400
157,GeminiBot,2990,-10
157,ClaudeBot,2610,-390
158,GPTBot,2810,-190
158,GeminiBot,2990,-10
158,ClaudeBot,3200,200
159,GPTBot,3910,910
159,GeminiBot,2990,-10
159,ClaudeBot,2100,-900
160,GPTBot,3220,220
160,GeminiBot,2800,-200
160,ClaudeBot,2980,-20
161,GPTBot,6060,3060
161,GeminiBot,2940,-60
161,ClaudeBot,0,-3000
162,GPTBot,3030,30
162,GeminiBot,2990,-10
162,ClaudeBot,2980,-20
163,GPTBot,3060,60
163,GeminiBot,2990,-10
163,ClaudeBot,2950,-50
164,GPTBot,3280,280
164,GeminiBot,2740,-260
164,ClaudeBot,2980,-20
165,GPTBot,3220,220
165,GeminiBot,2800,-200
165,ClaudeBot,2980,-20
166,GPTBot,3220,220
166,GeminiBot,2800,-200
166,ClaudeBot,2980,-20
167,GPTBot,3150,150
167,GeminiBot,2990,-10
167,ClaudeBot,2860,-140
168,GPTBot,3400,400
168,GeminiBot,2990,-10
168,ClaudeBot,2610,-390
169,GPTBot,2950,-50
169,GeminiBot,3650,650
169,ClaudeBot,2400,-600
170,GPTBot,3200,200
170,GeminiBot,2820,-180
170,ClaudeBot,2980,-20
171,GPTBot,3220,220
171,GeminiBot,2800,-200
171,ClaudeBot,2980,-20
172,GPTBot,3160,160
172,GeminiBot,2990,-10
172,ClaudeBot,2850,-150
173,GPTBot,3130,130
173,GeminiBot,2990,-10
173,ClaudeBot,2880,-120
174,GPTBot,3400,400
174,GeminiBot,2800,-200
174,ClaudeBot,2800,-200
175,GPTBot,3550,550
175,GeminiBot,2990,-10
175,ClaudeBot,2460,-540
176,GPTBot,2940,-60
176,GeminiBot,1500,-1500
176,ClaudeBot,4560,1560
177,GPTBot,3150,150
177,GeminiBot,2990,-10
177,ClaudeBot,2860,-140
178,GPTBot,3400,400
178,GeminiBot,2800,-200
178,ClaudeBot,2800,-200
179,GPTBot,3570,570
179,GeminiBot,2990,-10
179,ClaudeBot,2440,-560
180,GPTBot,0,-3000
180,GeminiBot,2990,-10
180,ClaudeBot,6010,3010
181,GPTBot,3150,150
181,GeminiBot,2990,-10
181,ClaudeBot,2860,-140
182,GPTBot,2620,-380
182,GeminiBot,3600,600
182,ClaudeBot,2780,-220
183,GPTBot,3060,60
183,GeminiBot,2990,-10
183,ClaudeBot,2950,-50
184,GPTBot,3030,30
184,GeminiBot,2990,-10
184,ClaudeBot,2980,-20
185,GPTBot,3220,220
185,GeminiBot,2800,-200
185,ClaudeBot,2980,-20
186,GPTBot,3400,400
186,GeminiBot,2800,-200
186,ClaudeBot,2800,-200
187,GPTBot,3490,490
187,GeminiBot,2990,-10
187,ClaudeBot,2520,-480
188,GPTBot,3030,30
188,GeminiBot,2990,-10
188,ClaudeBot,2980,-20
189,GPTBot,3310,310
189,GeminiBot,2990,-10
189,ClaudeBot,2700,-300
190,GPTBot,2940,-60
190,GeminiBot,2800,-200
190,ClaudeBot,3260,260
191,GPTBot,6010,3010
191,GeminiBot,2990,-10
191,ClaudeBot,0,-3000
192,GPTBot,3030,30
192,GeminiBot,2990,-10
192,ClaudeBot,2980,-20
193,GPTBot,3220,220
193,GeminiBot,2800,-200
193,ClaudeBot,2980,-20
194,GPTBot,3610,610
194,GeminiBot,2990,-10
194,ClaudeBot,2400,-600
195,GPTBot,3910,910
195,GeminiBot,2990,-10
195,ClaudeBot,2100,-900
196,GPTBot,3400,400
196,GeminiBot,2800,-200
196,ClaudeBot,2800,-200
197,GPTBot,3510,510
197,GeminiBot,2990,-10
197,ClaudeBot,2500,-500
198,GPTBot,3150,150
198,GeminiBot,2990,-10
198,ClaudeBot,2860,-140
199,GPTBot,3310,310
199,GeminiBot,2990,-10
199,ClaudeBot,2700,-300
200,GPTBot,3220,220
200,GeminiBot,2800,-200
200,ClaudeBot,2980,-20
201,GPTBot,4260,1260
201,GeminiBot,2940,-60
201,ClaudeBot,1800,-1200
202,GPTBot,3150,150
202,GeminiBot,2990,-10
202,ClaudeBot,2860,-140
203,GPTBot,3220,220
203,GeminiBot,2990,-10
203,ClaudeBot,2790,-210
204,GPTBot,3030,30
204,GeminiBot,2990,-10
204,ClaudeBot,2980,-20
205,GPTBot,3030,30
205,GeminiBot,2990,-10
205,ClaudeBot,2980,-20
206,GPTBot,3030,30
206,GeminiBot,2990,-10
206,ClaudeBot,2980,-20
207,GPTBot,3600,600
207,GeminiBot,2850,-150
207,ClaudeBot,2550,-450
208,GPTBot,3910,910
208,GeminiBot,2990,-10
208,ClaudeBot,2100,-900
209,GPTBot,3170,170
209,GeminiBot,2990,-10
209,ClaudeBot,2840,-160
210,GPTBot,3150,150
210,GeminiBot,2990,-10
210,ClaudeBot,2860,-140
211,GPTBot,3060,60
211,GeminiBot,2990,-10
211,ClaudeBot,2950,-50
212,GPTBot,3070,70
212,GeminiBot,2990,-10
212,ClaudeBot,2940,-60
213,GPTBot,3400,400
213,GeminiBot,2990,-10
213,ClaudeBot,2610,-390
214,GPTBot,3030,30
214,GeminiBot,2990,-10
214,ClaudeBot,2980,-20
215,GPTBot,3610,610
215,GeminiBot,2990,-10
215,ClaudeBot,2400,-600
216,GPTBot,3760,760
216,GeminiBot,2990,-10
216,ClaudeBot,2250,-750
217,GPTBot,6010,3010
217,GeminiBot,2990,-10
217,ClaudeBot,0,-3000
218,GPTBot,3220,220
218,GeminiBot,2800,-200
218,ClaudeBot,2980,-20
219,GPTBot,3310,310
219,GeminiBot,2990,-10
219,ClaudeBot,2700,-300
220,GPTBot,3030,30
220,GeminiBot,2990,-10
220,ClaudeBot,2980,-20
221,GPTBot,3610,610
221,GeminiBot,2990,-10
221,ClaudeBot,2400,-600
222,GPTBot,3030,30
222,GeminiBot,2990,-10
222,ClaudeBot,2980,-20
223,GPTBot,4160,1160
223,GeminiBot,2940,-60
223,ClaudeBot,1900,-1100
224,GPTBot,3480,480
224,GeminiBot,2760,-240
224,ClaudeBot,2760,-240
225,GPTBot,3030,30
225,GeminiBot,2990,-10
225,ClaudeBot,2980,-20
226,GPTBot,3030,30
226,GeminiBot,2990,-10
226,ClaudeBot,2980,-20
227,GPTBot,3220,220
227,GeminiBot,2800,-200
227,ClaudeBot,2980,-20
228,GPTBot,3710,710
228,GeminiBot,2990,-10
228,ClaudeBot,2300,-700
229,GPTBot,3220,220
229,GeminiBot,2800,-200
229,ClaudeBot,2980,-20
230,GPTBot,3400,400
230,GeminiBot,2800,-200
230,ClaudeBot,2800,-200
231,GPTBot,3170,170
231,GeminiBot,2990,-10
231,ClaudeBot,2840,-160
232,GPTBot,3030,30
232,GeminiBot,2990,-10
232,ClaudeBot,2980,-20
233,GPTBot,3150,150
233,GeminiBot,2990,-10
233,ClaudeBot,2860,-140
234,GPTBot,3220,220
234,GeminiBot,2800,-200
234,ClaudeBot,2980,-20
235,GPTBot,3210,210
235,GeminiBot,2990,-10
235,ClaudeBot,2800,-200
236,GPTBot,3210,210
236,GeminiBot,2990,-10
236,ClaudeBot,2800,-200
237,GPTBot,3030,30
237,GeminiBot,2990,-10
237,ClaudeBot,2980,-20
238,GPTBot,3070,70
238,GeminiBot,2990,-10
238,ClaudeBot,2940,-60
239,GPTBot,3030,30
239,GeminiBot,2990,-10
239,ClaudeBot,2980,-20
240,GPTBot,3030,30
240,GeminiBot,2990,-10
240,ClaudeBot,2980,-20
241,GPTBot,3220,220
241,GeminiBot,2800,-200
241,ClaudeBot,2980,-20
242,GPTBot,3170,170
242,GeminiBot,2990,-10
242,ClaudeBot,2840,-160
243,GPTBot,6010,3010
243,GeminiBot,2990,-10
243,ClaudeBot,0,-3000
244,GPTBot,3030,30
244,GeminiBot,2990,-10
244,ClaudeBot,2980,-20
245,GPTBot,3210,210
245,GeminiBot,2990,-10
245,ClaudeBot,2800,-200
246,GPTBot,3210,210
246,GeminiBot,2990,-10
246,ClaudeBot,2800,-200
247,GPTBot,3600,600
247,GeminiBot,2850,-150
247,ClaudeBot,2550,-450
248,GPTBot,3170,170
248,GeminiBot,2850,-150
248,ClaudeBot,2980,-20
249,GPTBot,3030,30
249,GeminiBot,2990,-10
249,ClaudeBot,2980,-20
250,GPTBot,3220,220
250,GeminiBot,2800,-200
250,ClaudeBot,2980,-20
251,GPTBot,3030,30
251,GeminiBot,2990,-10
251,ClaudeBot,2980,-20
252,GPTBot,3480,480
252,GeminiBot,2760,-240
252,ClaudeBot,2760,-240
253,GPTBot,3030,30
253,GeminiBot,2990,-10
253,ClaudeBot,2980,-20
254,GPTBot,3220,220
254,GeminiBot,2800,-200
254,ClaudeBot,2980,-20
255,GPTBot,3220,220
255,GeminiBot,2800,-200
255,ClaudeBot,2980,-20
256,GPTBot,3210,210
256,GeminiBot,2990,-10
256,ClaudeBot,2800,-200
257,GPTBot,3510,510
257,GeminiBot,2990,-10
257,ClaudeBot,2500,-500
258,GPTBot,3210,210
258,GeminiBot,2990,-10
258,ClaudeBot,2800,-200
259,GPTBot,3210,210
259,GeminiBot,2990,-10
259,ClaudeBot,2800,-200
260,GPTBot,3170,170
260,GeminiBot,2850,-150
260,ClaudeBot,2980,-20
261,GPTBot,3170,170
261,GeminiBot,2990,-10
261,ClaudeBot,2840,-160
262,GPTBot,3030,30
262,GeminiBot,2990,-10
262,ClaudeBot,2980,-20
263,GPTBot,2940,-60
263,GeminiBot,2800,-200
